Key,Value
CollisionProfileName,BlockAll
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
InternalVariableName,DefaultSceneRoot
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,SharedRoot
InternalVariableName,PointLight12_LightComponent0
InternalVariableName,NS_Fire_12_NiagaraComponent0
InternalVariableName,Asphalt_Crack_umegahkcw_inst2_NewDecalComponent
InternalVariableName,Asphalt_Crack_tjnmffbo_inst2_NewDecalComponent
InternalVariableName,Road_Crack_sfwndfg_inst2_NewDecalComponent
InternalVariableName,Asphalt_Crack_Patch_sfxmang_inst4_NewDecalComponent
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,BG
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,NS_Fire_10_NiagaraComponent0
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor9_HierarchicalInstancedStaticMeshComponent
InternalVariableName,SM_balustrade_38_StaticMeshComponent0
InternalVariableName,SM_balustrade_45_StaticMeshComponent0
InternalVariableName,SM_balustrade_41_StaticMeshComponent0
InternalVariableName,SM_balustrade_43_StaticMeshComponent0
InternalVariableName,PointLight10_LightComponent0
InternalVariableName,PointLight11_LightComponent0
InternalVariableName,NS_Fire_11_NiagaraComponent0
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
