Key,Value
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,BlockAll
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
InternalVariableName,DefaultSceneRoot
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,SharedRoot
InternalVariableName,PointLight10_LightComponent0
InternalVariableName,PointLight12_LightComponent0
InternalVariableName,NS_Fire_12_NiagaraComponent0
InternalVariableName,NS_Fire_13_NiagaraComponent0
InternalVariableName,PointLight13_LightComponent0
InternalVariableName,PointLight14_LightComponent0
InternalVariableName,PointLight15_LightComponent0
InternalVariableName,NS_Fire_15_NiagaraComponent0
InternalVariableName,PointLight16_LightComponent0
InternalVariableName,Road_Crack_sfwndfg_inst_NewDecalComponent
InternalVariableName,NS_Fire_16_NiagaraComponent0
InternalVariableName,Asphalt_Crack_Patch_sfxmang_inst3_NewDecalComponent
InternalVariableName,Asphalt_Crack_umegfd0cw_inst2_NewDecalComponent
InternalVariableName,Asphalt_Crack_ukxodjdcw_inst_NewDecalComponent
InternalVariableName,Asphalt_Crack_umegahkcw_inst2_NewDecalComponent
InternalVariableName,Asphalt_Crack_tjnmffbo_inst2_NewDecalComponent
InternalVariableName,Road_Crack_sfwndfg_inst2_NewDecalComponent
InternalVariableName,Asphalt_Crack_Patch_sfxmang_inst4_NewDecalComponent
InternalVariableName,Asphalt_Crack_ugcmfivcw_inst2_NewDecalComponent
InternalVariableName,Asphalt_Crack_umegahkcw_inst3_NewDecalComponent
InternalVariableName,Road_Crack_sfwndfg_inst3_NewDecalComponent
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,BG
InternalVariableName,NS_Fire_14_NiagaraComponent0
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,SM_balustrade_27_StaticMeshComponent0
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor2_HierarchicalInstancedStaticMeshComponent
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,BG1
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,BG2
InternalVariableName,NS_Fire_6_NiagaraComponent0
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,BG3
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,BG4
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,BG5
InternalVariableName,PointLight6_LightComponent0
InternalVariableName,PointLight8_LightComponent0
InternalVariableName,NS_Fire_8_NiagaraComponent0
InternalVariableName,NS_Fire_10_NiagaraComponent0
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
