Key,Value
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
InternalVariableName,DefaultSceneRoot
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,SharedRoot
InternalVariableName,Actor5_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor5_HierarchicalInstancedStaticMeshComponent
InternalVariableName,Actor5_HierarchicalInstancedStaticMeshComponent
InternalVariableName,N_Higanbana_03
InternalVariableName,NS_Grass_03
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,NS_Flower
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,NS_Fire_02
ParentComponentOrVariableName,DefaultSceneRoot
ParentComponentOwnerClassName,BP_DungeonBGBase_C
InternalVariableName,NS_Fire_03
InternalVariableName,Riverside_base_3_StaticMeshComponent0
InternalVariableName,Plane3_StaticMeshComponent0
InternalVariableName,rock9_StaticMeshComponent0
InternalVariableName,rock7_StaticMeshComponent0
InternalVariableName,rock15_StaticMeshComponent0
InternalVariableName,SM_BushA_4_StaticMeshComponent0
InternalVariableName,Actor5_HierarchicalInstancedStaticMeshComponent
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,BlockAll
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
CollisionProfileName,NoCollision
Channel,Visibility
Channel,Camera
