Key,Value
FuncText39,100
FuncText39,会話術
FuncText39,100
FuncText39,1000
FuncText39,0
FuncText39,LKS
FuncText39,100
FuncText39,0
FuncText39,CON
FuncText39,コミュニケーションの結果、<cf>
FuncText39,が
FuncText39,上昇しました<cf>
FuncText39,が
FuncText39,減少しました
FuncText39,100
FuncText39,0
FuncText39,MNT
FuncText39,0
FuncText39,CON
FuncText39,100
FuncText39,0
FuncText39,LKS
FuncText39,0
FuncText39,MNT
FuncText43,_C
FuncText43,_C
FuncText47,のLKSが
FuncText47,回復して
FuncText47,に
FuncText48,のCONが
FuncText48,回復して
FuncText48,に
FuncText49,のMNTが
FuncText49,回復して
FuncText49,に
Name,
FlavorText,
Name,
FlavorText,
InternalVariableName,DefaultSceneRoot
