Key,Value
FuncText1,Switch
FuncText1,Switch
FuncText1,PS4
FuncText1,InputAxisY:
FuncText1,:OnlyPS4
FuncText1,PS4
FuncText1,Switch
FuncText1,Windows
FuncText1,Steam
ComponentPropertyName,Sphere
DelegatePropertyName,OnComponentEndOverlap
FunctionNameToBind,BndEvt__BP_ManagementPawn_Sphere_K2Node_ComponentBoundEvent_1_ComponentEndOverlapSignature__DelegateSignature
ComponentPropertyName,Sphere
DelegatePropertyName,OnComponentBeginOverlap
FunctionNameToBind,BndEvt__BP_ManagementPawn_Sphere_K2Node_ComponentBoundEvent_0_ComponentBeginOverlapSignature__DelegateSignature
InputActionName,UI_A
FunctionNameToBind,InpActEvt_UI_A_K2Node_InputActionEvent
InputActionName,UI_B
FunctionNameToBind,InpActEvt_UI_B_K2Node_InputActionEvent
InputAxisName,MapScaleUp
FunctionNameToBind,InpAxisEvt_MapScaleUp_K2Node_InputAxisEvent
InputAxisName,Up
FunctionNameToBind,InpAxisEvt_Up_K2Node_InputAxisEvent
InputAxisName,Right
FunctionNameToBind,InpAxisEvt_Right_K2Node_InputAxisEvent
KeyName,Gamepad_RightY
FunctionNameToBind,InpAxisKeyEvt_Gamepad_RightY_K2Node_InputAxisKeyEvent
KeyName,LeftMouseButton
FunctionNameToBind,InpActEvt_LeftMouseButton_K2Node_InputKeyEvent
KeyName,LeftMouseButton
FunctionNameToBind,InpActEvt_LeftMouseButton_K2Node_InputKeyEvent
InternalVariableName,DefaultSceneRoot
InternalVariableName,Sphere
InternalVariableName,SpringArm
InternalVariableName,Camera
InternalVariableName,Cursor
InternalVariableName,Widget
CollisionProfileName,Custom
Channel,WorldStatic
Channel,WorldDynamic
Channel,Pawn
Channel,Visibility
Channel,Camera
Channel,PhysicsBody
Channel,Vehicle
Channel,Destructible
PropertyName,ResultAnimationLine_NewTrack_0_980FC79147D7D6207E3211AF22D17B7E
TrackName,NewTrack
VariableName,ResultAnimationLine
DirectionPropertyName,ResultAnimationLine__Direction_980FC79147D7D6207E3211AF22D17B7E
UpdateFunctionName,ResultAnimationLine__UpdateFunc
FinishedFunctionName,ResultAnimationLine__FinishedFunc
PropertyName,Snap_NewTrack_0_F296B0124E7CAEA7AAC86698E5D1004C
TrackName,NewTrack
VariableName,Snap
DirectionPropertyName,Snap__Direction_F296B0124E7CAEA7AAC86698E5D1004C
UpdateFunctionName,Snap__UpdateFunc
FinishedFunctionName,Snap__FinishedFunc
