Key,Value
Name_5_B994877C4CC118DFC6F22099FEABEC2C,ゲーム開始1話開始ADV
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main01/Main0101.Main0101*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,石切場をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,1話ダンジョン内一ノ瀬初登場シナリオ
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main01/Main0111.Main0111*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,石切場をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,1話ダンジョン灯初登場シナリオ(バトル前)
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main01/Main0121.Main0121*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,石切場をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,1話バトル後、一ノ瀬離脱シナリオ
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main01/Main0131.Main0131*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,石切場をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,1話終了ADV
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main01/Main0141.Main0141*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,石切場をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話開始ADV
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0201.Main0201*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話ダンジョン開始時イベント
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0211.Main0211*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話ダンジョンバトル前演出
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0221.Main0221*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話ダンジョンバトル後演出成功
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0231A.Main0231A*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話ダンジョンバトル後演出失敗
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0231B.Main0231B*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話ダンジョンバトル前地獄公使出会い
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0241.Main0241*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話ダンジョンバトル後地獄公使バトル終了
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0251.Main0251*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,2話終了ADV
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main02/Main0261.Main0261*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,商店街をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,3話開始ADV
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main03/Main0301.Main0301*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,亡者を地獄に送る
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,3話許可証を買いに行こう　3話開始後亡者を地獄に送る
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main03/Main0311.Main0311*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,売店で許可証・喜を買う
Description_15_037D17DD4A11961AD437EBB660486991,動いたけど暗転明けねえ
Name_5_B994877C4CC118DFC6F22099FEABEC2C,3話ショップでADV
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main03/Main0331A.Main0331A*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,売店で許可証・喜を買う
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,3話ショップで指定アイテム購入。一ノ瀬加入A
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main03/Main0331B.Main0331B*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,工事現場をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,3話工事現場ダンジョン開始時のADV
ADVPath_20_F1F9A78D46F91B2C31B112A638304ED1,*/Game/Anzu/DataTable/Scenario/Main/Main03/Main0341.Main0341*labelA
NextMission_29_090F75224C3DC2F93BDA78822C6F7B4A,工事現場をクリアする
Description_15_037D17DD4A11961AD437EBB660486991,
Name_5_B994877C4CC118DFC6F22099FEABEC2C,3話ダンジョンきりくバトル前
