Key,Value
Description_6_5244865F40FC31B64409348D3D8E45A7,無
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,VOID
Description_6_5244865F40FC31B64409348D3D8E45A7,衝
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,PHYSICS
Description_6_5244865F40FC31B64409348D3D8E45A7,裂
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,RIPPER
Description_6_5244865F40FC31B64409348D3D8E45A7,熱
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,HEAT
Description_6_5244865F40FC31B64409348D3D8E45A7,冷
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,COLD
Description_6_5244865F40FC31B64409348D3D8E45A7,電
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,THUNDER
Description_6_5244865F40FC31B64409348D3D8E45A7,毒
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,POISON
Description_6_5244865F40FC31B64409348D3D8E45A7,心
EnglishName_13_41D3BA8242BCDBC23B8F8E9526185D04,PHYCHO
