Key,Value
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,こいつは地獄をわかってない<lf>オーソドックスに火盆地獄いくか<lf>そうしよう
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,熱湯で責めるもオーソドックスだな<lf>次はそいつでわからせてみるか<lf>そうしよう
4_12_909EB2B24D3B385B58A5759E04C349E8,オーソドックスでも何でもないが<lf>畏熟地獄でわからせたくなった<lf>そうしよう
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,荷物の中身が気になるが<lf>それはひとまず置いといて<lf>不喜地獄にでも送ってみるか
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,荷物の中身が気になりすぎるが<lf>それはひとまず置いといて<lf>流砂にチャレンジしてもらおう
4_12_909EB2B24D3B385B58A5759E04C349E8,引き続き頑張っていただくか<lf>どこに地獄送りすっかな……
5_14_1BAE7F094436F181617D3786DB92819C,何かと圧の強さを感じるので<lf>圧に関する地獄が似合うのでは<lf>荷物の中身はもういいか
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,素直にしてくれているのは助かる<lf>獄卒に追い立てられても平気そう<lf>どうかな
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,相変わらず手のかからない亡者だ<lf>それでは定番の火炙りはどうかな
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,なんだか面倒になってきた……<lf>暗いとこにでも放り込んどくか
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,話をしてて疲れるな……<lf>それ系の地獄に落として<lf>存分に議論なり戦わせてもらおう
5_14_1BAE7F094436F181617D3786DB92819C,大勢に相手してもらおう！<lf>この亡者にはそれがいいって！
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,見るからに人呑地獄に向いてそう<lf>間違いない
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,見るからに無様地獄にも向いてそう<lf>間違いない
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,運動した後のメシは格別だ<lf>なので獄卒に追い立てられるのは？<lf>これは名案
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,通勤地獄がブームらしいので<lf>とりあえず放り込んでみよう
5_14_1BAE7F094436F181617D3786DB92819C,飛べ！
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,ぴんとこないけど<lf>畏熟地獄で遊ばせてみるか？<lf>そうと決まれば早速
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,どうやら水遊びが好きらしい<lf>だからそれ系に地獄送りしてやる？<lf>うーん……
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,あいわかった<lf>代表料理でもてなしてやるぜ<lf>ささこちらへ
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,トイレに行きたいのか？<lf>こっちだ
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,わかったわかった<lf>最新アトラクションでもてなそう<lf>ファイヤー！
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,こうなったら腹を括ってくれ<lf>ところで動物は好きか？
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,一度も二度も同じ事！<lf>ところで狭い場所は得意か？
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,立場上経験しておくのも悪くないぞ<lf>我が社も潤うし一石二鳥だな！<lf>という訳で叫喚地獄よろしく
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,キングオブ地獄と言えば針山だよな<lf>あーでも火盆もそうか？<lf>ひとまず前者のほうよろしく！
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,いやーまだまだ暑いって！<lf>遠慮せずに涼んでこい
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,もう氷はこりごりだって？<lf>次の地獄は冷たくねーから<lf>固まるのは固まるけども
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,……どの地獄なら<lf>このわがままボディが収まるか<lf>漬地獄あたり？
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,黒縄地獄の獄卒から<lf>挑戦状が届いているな<lf>何のつもりだ
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,まずはメンタル系いっとくか<lf>無様地獄あたりか？
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,これは勘なのだが<lf>人呑地獄がとても似合いそうだ<lf>確かめてみよう
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,よーし<lf>銭湯にご招待してやろう！<lf>特別だぞ
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,よーし<lf>エステにご招待してやろう！<lf>特別だぞ
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,よーし<lf>温泉にご招待してやろう！<lf>特別だぞ
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,よーし<lf>ここは一発ビリッとキメてこい！<lf>特別だぞ
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,追体験でもデジャブでもないが<lf>針山地獄におとしたくなったかも<lf>そうしよう
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,うーん<lf>等活地獄あたりがいっか<lf>惜しいなあ
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,何となく突き地獄で突きまくると<lf>ポテンシャルを発揮しそうな気が<lf>そうしよう
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,随意圧地獄で限界に挑戦するのが<lf>本人にとっても本望な気がする<lf>そうしよう
5_14_1BAE7F094436F181617D3786DB92819C,
1_5_09C7AA594BE40C87E5D845B8A2C9D19C,
2_8_2D384EB64BCB0C38B75D6E8A89C7FCEB,さーて次のアトラクションはー<lf>ドコドコドコドコドン！<lf>……おおっとこれは漬地獄！
3_10_5EBCD40D4AD966FA512E4C94BB4CDBE3,
4_12_909EB2B24D3B385B58A5759E04C349E8,さーて続いてはこちらです<lf>ドコドコドコドコドン！<lf>……せつせつ地獄が選ばれたぁ！
5_14_1BAE7F094436F181617D3786DB92819C,
