Key,Value
Name,TextBlock
BindingName,TextBlock
Name,Logo
BindingName,Logo
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransformPivot
PropertyPath,RenderTransformPivot
Text_1,
Text_2,35106DAA4A196106F1B64582F9EE5D2A
Text_3,&
TypefaceFontName,Default
Text_1,
Text_2,319A27BA4D92C464EF2B0AB3CACA7C0B
Text_3,#
TypefaceFontName,Default
Text_1,
Text_2,2AE119D04B8975E2EE3107AC747451B2
Text_3,;
TypefaceFontName,Default
Text_1,
Text_2,744B315145773FACCC91FF9FFCE25E87
Text_3,_
TypefaceFontName,Default
WidgetName,TextBlock
SlotWidgetName,None
DisplayLabel,Anm_Gear_Main
WidgetName,Logo
SlotWidgetName,None
DisplayLabel,Anm_Logo
