Key,Value
FuncText34,Switch
FuncText34,PS4
FuncText35,Win64
FuncText35,PS4
FuncText35,Switch
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Title_Main_Button_138_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Name,Image_Step1
BindingName,Image_Step1
Name,Image_step2
Name,Image_step1
BindingName,Image_step2
BindingName,Image_step1
Name,Image_step3
Name,Image_step2
Name,Image_Step1
BindingName,Image_step3
BindingName,Image_step2
BindingName,Image_Step1
Name,Image_step3
Name,Image_Step1
Name,Image_step2
BindingName,Image_step3
BindingName,Image_Step1
BindingName,Image_step2
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
Start_Main,走馬灯シーン
Start_Sub,SCENE VIEWER
Start_Main,走馬灯スチル
Start_Sub,STIHL VIEWER
Start_Main,コンフィグ
Start_Sub,CONFIG
Start_Main,ゲーム終了
Start_Sub, EXIT   TO   GAME
Start_Main,ロード
Start_Sub,LOAD   GAME
Start_Main,走馬灯メロディ
Start_Sub,MUSIC PLAYER
Start_Main,はじめから
Start_Sub,START   GAME
Start_Main,マニュアル
Start_Sub,MANUAL
WidgetName,Image_Step1
SlotWidgetName,None
DisplayLabel,Step1
WidgetName,Image_step2
SlotWidgetName,None
WidgetName,Image_step1
SlotWidgetName,None
DisplayLabel,Step2
WidgetName,Image_step3
SlotWidgetName,None
WidgetName,Image_step2
SlotWidgetName,None
WidgetName,Image_Step1
SlotWidgetName,None
DisplayLabel,Step3
WidgetName,Image_step3
SlotWidgetName,None
WidgetName,Image_Step1
SlotWidgetName,None
WidgetName,Image_step2
SlotWidgetName,None
DisplayLabel,Step4
