Key,Value
ComponentPropertyName,Button
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Icon_04_Dungeon_Button_K2Node_ComponentBoundEvent_5_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Icon_04_Dungeon_Button_K2Node_ComponentBoundEvent_4_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Icon_04_Dungeon_Button_K2Node_ComponentBoundEvent_3_OnButtonClickedEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Icon_Dungeon_Button_28_K2Node_ComponentBoundEvent_2_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Icon_Dungeon_Button_28_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Icon_Dungeon_Button_28_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
