Key,Value
CharacterName_3_718D316F4F37E24193FF04BE4CDC3BC6,
Description_27_DE2C3EEB4619887809AA7C91A097FAA4,
ComponentPropertyName,Button_Small
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Icon_Chara_Button_Small_K2Node_ComponentBoundEvent_5_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button_Large
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Icon_Chara_Button_Large_K2Node_ComponentBoundEvent_4_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button_Small
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Icon_Chara_Button_Small_K2Node_ComponentBoundEvent_3_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button_Large
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Icon_Chara_Button_Large_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button_Small
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Icon_Chara_Button_Small_K2Node_ComponentBoundEvent_2_OnButtonClickedEvent__DelegateSignature
ComponentPropertyName,Button_Large
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Icon_Chara_Button_Large_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Name,Anm_SD_Chara
Name,SD_Shadow
BindingName,Anm_SD_Chara
BindingName,SD_Shadow
Name,Anm_SD_Chara
BindingName,Anm_SD_Chara
Name,Anm_SD_Chara
Name,CanvasPanelSlot_1
Name,SD_Chara_GRP
BindingName,Anm_SD_Chara
BindingName,CanvasPanelSlot_1
BindingName,SD_Chara_GRP
Name,SD_Shadow
Name,Anm_SD_Chara
BindingName,SD_Shadow
BindingName,Anm_SD_Chara
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,RenderTransformPivot
PropertyPath,RenderTransformPivot
PropertyName,RenderTransformPivot
PropertyPath,RenderTransformPivot
PropertyName,RenderTransformPivot
PropertyPath,RenderTransformPivot
PropertyName,RenderTransformPivot
PropertyPath,RenderTransformPivot
WidgetName,Anm_SD_Chara
SlotWidgetName,None
WidgetName,SD_Shadow
SlotWidgetName,None
DisplayLabel,SD_Event
WidgetName,Anm_SD_Chara
SlotWidgetName,None
DisplayLabel,SD_Item
WidgetName,Anm_SD_Chara
SlotWidgetName,None
WidgetName,SD_Chara_GRP
SlotWidgetName,None
WidgetName,SD_Chara_GRP
SlotWidgetName,CanvasPanelSlot
DisplayLabel,SD_LP
WidgetName,SD_Shadow
SlotWidgetName,None
WidgetName,Anm_SD_Chara
SlotWidgetName,None
DisplayLabel,SD_Lv_Up
