Key,Value
FuncText0,Hello
FuncText0,InitIconHell
FuncText13,Init Spine
FuncText13,LooksType:
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,
Name_2_7FD4EACD462D7DA635E576B5FD64BA11,
Description_34_1A93724B418505F6F952C082F3B96278,
Comment_40_F668A4FE475E2D35F54530A515194555,
Name,
FlavorText,
ComponentPropertyName,Button
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Icon_Hell_Button_K2Node_ComponentBoundEvent_5_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Icon_Hell_Button_K2Node_ComponentBoundEvent_4_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Icon_Hell_Button_K2Node_ComponentBoundEvent_3_OnButtonClickedEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Icon_Hell_Button_28_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Icon_Hell_Button_28_K2Node_ComponentBoundEvent_2_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Icon_Hell_Button_28_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
Name,Card_Layout_Base
Name,Card_Layout
Name,Hi_1
BindingName,Card_Layout_Base
BindingName,Card_Layout
BindingName,Hi
Name,CanvasPanelSlot_5
Name,Anim_RS_Turn
Name,TLDR_VL
Name,TLDR_TLDR
Name,TLDR_PK
BindingName,CanvasPanelSlot_5
BindingName,Anim_RS_Turn
BindingName,TLDR_VL
BindingName,TLDR_TLDR
BindingName,TLDR_PK
Name,CanvasPanelSlot_1
Name,VS_GRP
Name,Bar_RD
BindingName,CanvasPanelSlot_1
BindingName,VS_Anim_GRP
BindingName,Bar_RD
Name,CanvasPanelSlot_5
Name,Anim_RS_Turn
Name,TLDR_VL
Name,TLDR_TLDR
Name,TLDR_PK
BindingName,CanvasPanelSlot_5
BindingName,Anim_RS_Turn
BindingName,TLDR_VL
BindingName,TLDR_TLDR
BindingName,TLDR_PK
Name,CanvasPanelSlot_5
Name,Anim_RS_Turn
Name,TLDR_VL
Name,TLDR_TLDR
Name,TLDR_PK
BindingName,CanvasPanelSlot_5
BindingName,Anim_RS_Turn
BindingName,TLDR_VL
BindingName,TLDR_TLDR
BindingName,TLDR_PK
Name,Base_Common
BindingName,Base_Common
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
