Key,Value
Name,Eff_Bomb_1
Name,Eff_Bomb_2
Name,Eff_Bomb_3
Name,Eff_Bomb_4
Name,Eff_Bomb_5
Name,Eff_Bomb_6
Name,Eff_Bomb_7
Name,Eff_Bomb_8
Name,Eff_Bomb_9
Name,Eff_Bomb_10
Name,Eff_Bomb_11
Name,Eff_Bomb_12
Name,Eff_Bomb_GRP
Name,CanvasPanelSlot_1
BindingName,Eff_Bomb_1
BindingName,Eff_Bomb_2
BindingName,Eff_Bomb_3
BindingName,Eff_Bomb_4
BindingName,Eff_Bomb_5
BindingName,Eff_Bomb_6
BindingName,Eff_Bomb_7
BindingName,Eff_Bomb_8
BindingName,Eff_Bomb_9
BindingName,Eff_Bomb_10
BindingName,Eff_Bomb_11
BindingName,Eff_Bomb_12
BindingName,Eff_Bomb_GRP
BindingName,CanvasPanelSlot_1
Name,Bg_VS_2Lsita
Name,Txt_VS_0
Name,Bg_VS_2L_ue
Name,CanvasPanelSlot_0
Name,Cut_eff_Ciecle_ue
Name,CanvasPanelSlot_1
Name,Cut_eff_Ciecle_sita
Name,Left_Bar
Name,Right_Bar_1
Name,Bg_VS_1R_ue
Name,Bg_VS_1R_sita
Name,CanvasPanelSlot_4
Name,Lose_GRP
Name,Eff_Cursor
BindingName,Bg_VS_2Lsita
BindingName,Txt_VS_0
BindingName,Bg_VS_2L_ue
BindingName,CanvasPanelSlot_0
BindingName,Cut_eff_Ciecle_ue
BindingName,CanvasPanelSlot_1
BindingName,Cut_eff_Ciecle_sita
BindingName,Left_Bar
BindingName,Right_Bar_1
BindingName,Bg_VS_1R_ue
BindingName,Bg_VS_1R_sita
BindingName,CanvasPanelSlot_4
BindingName,Lose_GRP
BindingName,Eff_Cursor
Name,Base_Price
Name,Base_Price_Hi
Name,M_Slot_5
Name,Price_Slot
BindingName,Base_Price
BindingName,Base_Price_Hi
BindingName,M_Slot_5
BindingName,Price_Slot
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,Visibility
PropertyPath,Visibility
PropertyName,Visibility
PropertyPath,Visibility
PropertyName,Visibility
PropertyPath,Visibility
PropertyName,Visibility
PropertyPath,Visibility
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
