Key,Value
FuncText2,干支の加護Ⅱ
FuncText2,x
FuncText2,%
FuncText2,干支の加護Ⅰ
FuncText21,生への渇望Ⅱ
FuncText21,生への渇望Ⅰ
Name_2_7FD4EACD462D7DA635E576B5FD64BA11,
Description_34_1A93724B418505F6F952C082F3B96278,
Comment_40_F668A4FE475E2D35F54530A515194555,
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Hell_Result_Button_105_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Name,CanvasPanelSlot_17
Name,CanvasPanel_Invoice
Name,CanvasPanelSlot_23
Name,Base_Salary
Name,WBP_ResultBonusList_LKS
Name,WBP_ResultBonusList_CON
Name,WBP_ResultBonusList_MNT
Name,CanvasPanelSlot_36
Name,HorizontalBox_ColorMatch
Name,CanvasPanelSlot_3
Name,HorizontalBox_Sum
Name,CanvasPanelSlot_16
Name,WBP_DeadDetail_Main_2
Name,CanvasPanelSlot_15
Name,WBP_DeadDetail_Main_1
Name,CanvasPanelSlot_0
Name,WBP_DeadDetail_Main
Name,CanvasPanel_Cards
Name,CanvasPanelSlot_25
Name,CanvasPanelSlot_7
Name,Flower_GRP
Name,CanvasPanelSlot_9
Name,Hell_Bonus
Name,WBP_Match_Rotate
Name,CanvasPanelSlot_2
Name,WidgetSwitcher_MatchResult
BindingName,CanvasPanelSlot_17
BindingName,CanvasPanel_Invoice
BindingName,CanvasPanelSlot_23
BindingName,HorizontalBox_Base
BindingName,WBP_ResultBonusList_LKS
BindingName,WBP_ResultBonusList_CON
BindingName,WBP_ResultBonusList_MNT
BindingName,CanvasPanelSlot_36
BindingName,HorizontalBox_ColorMatch
BindingName,CanvasPanelSlot_3
BindingName,HorizontalBox_Sum
BindingName,CanvasPanelSlot_16
BindingName,WBP_DeadDetail_Main_2
BindingName,CanvasPanelSlot_15
BindingName,WBP_DeadDetail_Main_1
BindingName,CanvasPanelSlot_0
BindingName,WBP_DeadDetail_Main
BindingName,CanvasPanel_Cards
BindingName,CanvasPanelSlot_25
BindingName,CanvasPanelSlot_7
BindingName,Flower_GRP
BindingName,CanvasPanelSlot_9
BindingName,Hell_BOnus
BindingName,WBP_Match_Rotate
BindingName,CanvasPanelSlot_2
BindingName,WidgetSwitcher_MatchResult
Name,CanvasPanelSlot_17
Name,CanvasPanel_Invoice
Name,CanvasPanelSlot_25
Name,CanvasPanel_Cards
BindingName,CanvasPanelSlot_17
BindingName,CanvasPanel_Invoice
BindingName,CanvasPanelSlot_25
BindingName,CanvasPanel_Cards
Name,Text_Spider_GRP
Name,CanvasPanelSlot_2
Name,Sub
BindingName,Text_Spider_GRP
BindingName,CanvasPanelSlot_2
BindingName,Sub
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,Visibility
PropertyPath,Visibility
PropertyName,Visibility
PropertyPath,Visibility
EvaluationGroup,None
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Padding
PropertyPath,Padding
PropertyName,Padding
PropertyPath,Padding
PropertyName,Padding
PropertyPath,Padding
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
Text_1,
Text_2,DC97B5624656B4CBB94DD9B8FD332EC1
Text_3,奪花効果
TypefaceFontName,Default
Text_1,
Text_2,33C0AB6142A67A170E1543BE0DCBD980
Text_3,基本給
TypefaceFontName,Default
Text_1,
Text_2,23F95A154398E72FE3D4B99D4B7F8BAE
Text_3,>
TypefaceFontName,Default
Text_1,
Text_2,1E388B284824D6B27F5AF09881AEF212
Text_3,=
TypefaceFontName,Default
Text_1,
Text_2,BB560937477D60C9806F7CA9FBFE9775
Text_3,@
TypefaceFontName,Default
Text_1,
Text_2,7777BB134818A9433C99E58946819BBA
Text_3,地獄優先権を賭けた売上勝負
TypefaceFontName,Default
Text_1,
