Key,Value
FuncText0,+
FuncText0,+
FuncText0,+
FuncText0,%
FuncText0,+
FuncText0,+
FuncText0,+
FuncText0,%
FuncText9,0
FuncText9,%
FuncText9,1
FuncText9,2
FuncText9,3
FuncText9,4
FuncText9,5
FuncText9,6
FuncText9,7
FuncText9,8
FuncText9,9
FuncText9,%
ComponentPropertyName,Btn_BackGround
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Info_Dung_C2_Food_Btn_BackGround_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Btn_BackGround
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Info_Dung_C2_Food_Btn_BackGround_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Text_1,
Text_2,601A4C6F43E405F823F6C48B1241899F
Text_3,+999%
TypefaceFontName,Default
Text_1,
Text_2,FA7D0F2448A81861291B0393243133B4
Text_3,チョコたっぷり
TypefaceFontName,Default
Text_1,
Text_2,B0096F7B40823BB7C399E58263981165
Text_3,99
TypefaceFontName,Default
Text_1,
Text_2,DADED097447B15DDD30451A414F23691
Text_3,X
TypefaceFontName,Default
