Key,Value
Name,Gage_Sta_MP_Fire
Name,Gage_Sta_MP_Fire_Minus
BindingName,Gage_Sta_MP_Fire
BindingName,Gage_Sta_MP_Fire_Minus
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
Text_1,
Text_2,BC71350E450569496967E78F617EE0E5
Text_3,MP
TypefaceFontName,Default
Text_1,
Text_2,20F59CF7409AE09C029B959D01EB07F0
Text_3,88888
TypefaceFontName,Default
Text_1,
Text_2,4699C5E14F0E31BF52B143AF46D5548F
Text_3,89888
TypefaceFontName,Default
WidgetName,Gage_Sta_MP_Fire
SlotWidgetName,None
WidgetName,Gage_Sta_MP_Fire_Minus
SlotWidgetName,None
DisplayLabel,Fire_Blink_MP_Staff
