Key,Value
ComponentPropertyName,Button_Back
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_PartyLine_Main_Button_Back_K2Node_ComponentBoundEvent_0_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button_Back
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_PartyLine_Main_Button_Back_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Text_1,
Text_2,3E1C54CF430078173033768EABE46C03
Text_3,編成
Text_1,
Text_2,9BF287894367A8923B29C2AEA1905843
Text_3,元の画面に戻る
