Key,Value
ComponentPropertyName,SkllButton
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Status_Main_SkllButton_K2Node_ComponentBoundEvent_4_OnButtonClickedEvent__DelegateSignature
ComponentPropertyName,ItemButton
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Status_Main_ItemButton_K2Node_ComponentBoundEvent_3_OnButtonClickedEvent__DelegateSignature
ComponentPropertyName,Button_Back
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Status_Main_Button_Back_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Text_1,
Text_2,1DFE596E4C1ED72EEFB8DF92DA9F8A0A
Text_3,アイテム画面
Text_1,
Text_2,BC38A83B4C92618A5B8B41BB487BB2DA
Text_3,元の画面に戻る
Text_1,
Text_2,C51551E840FDC5E50D2DF6BE3B4CA23B
Text_3,スキル画面
