Key,Value
FuncText0,Idle
FuncText0,Idle
CharacterName_3_718D316F4F37E24193FF04BE4CDC3BC6,
Description_27_DE2C3EEB4619887809AA7C91A097FAA4,
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_CharaStatusPannel_Button_84_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Name,RD_01
Name,RD_02
BindingName,RD
BindingName,RD_02
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
TextureParameter,Mask
WidgetName,RD_01
SlotWidgetName,None
WidgetName,RD_02
SlotWidgetName,None
DisplayLabel,Anm_Cursor
