Key,Value
UniqueEmitterName,Empty
StringValue,
StringValue,
StringValue,Trimmed
StringValue,Trimmed
StringValue,Trimmed
StringValue,Trimmed
StringValue,Trimmed
Name,Emitter.FloatFromCurve.FloatCurve
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
Name,Emitter.ScaleSpriteSize.Uniform Curve Sprite Scale
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
Name,SampleCurve
OwnerName,Emitter.FloatFromCurve.FloatCurve
Name,SampleCurve
OwnerName,Emitter.ScaleSpriteSize.Uniform Curve Sprite Scale
FullName,SpawnScript
FriendlyName,SpawnScript
FullName,InitializeParticle_Emitter_Func_
FriendlyName,InitializeParticle_Emitter
FullName,SphereLocation_Emitter_Func_
FriendlyName,SphereLocation_Emitter
FullName,AddVelocityFromPoint_Emitter_Func_
FriendlyName,AddVelocityFromPoint_Emitter
FullName,ParticleState_Emitter_Func_
FriendlyName,ParticleState_Emitter
FullName,SubUVAnimation_Emitter_Func_
FriendlyName,SubUVAnimation_Emitter
FullName,Drag_Emitter_Func_
FriendlyName,Drag_Emitter
FullName,PointForce_Emitter_Func_
FriendlyName,PointForce_Emitter
FullName,SolveForcesAndVelocity_Emitter_Func_
FriendlyName,SolveForcesAndVelocity_Emitter
FullName,ScaleSpriteSize_Emitter_Func_
FriendlyName,ScaleSpriteSize_Emitter
FullName,KillParticlesInVolume_Emitter_Func_
FriendlyName,KillParticlesInVolume_Emitter
FullName,SpawnScript_Main
FriendlyName,Main
FullName,SpawnScript_MapSpawnMain
FriendlyName,MapSpawnMain
FullName,SpawnScript_MapUpdateMain
FriendlyName,MapUpdateMain
Name,Empty.FloatFromCurve.FloatCurve
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
Name,Empty.ScaleSpriteSize.Uniform Curve Sprite Scale
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
StringValue,
StringValue,
StringValue,Trimmed
StringValue,Trimmed
StringValue,Trimmed
StringValue,Trimmed
StringValue,Trimmed
Name,Emitter.FloatFromCurve.FloatCurve
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
Name,Emitter.ScaleSpriteSize.Uniform Curve Sprite Scale
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
Name,SampleCurve
OwnerName,Emitter.FloatFromCurve.FloatCurve
Name,SampleCurve
OwnerName,Emitter.ScaleSpriteSize.Uniform Curve Sprite Scale
FullName,UpdateScript
FriendlyName,UpdateScript
FullName,ParticleState_Emitter_Func_
FriendlyName,ParticleState_Emitter
FullName,SubUVAnimation_Emitter_Func_
FriendlyName,SubUVAnimation_Emitter
FullName,Drag_Emitter_Func_
FriendlyName,Drag_Emitter
FullName,PointForce_Emitter_Func_
FriendlyName,PointForce_Emitter
FullName,SolveForcesAndVelocity_Emitter_Func_
FriendlyName,SolveForcesAndVelocity_Emitter
FullName,ScaleSpriteSize_Emitter_Func_
FriendlyName,ScaleSpriteSize_Emitter
FullName,KillParticlesInVolume_Emitter_Func_
FriendlyName,KillParticlesInVolume_Emitter
FullName,UpdateScript_Main
FriendlyName,Main
FullName,UpdateScript_MapMain
FriendlyName,MapMain
Name,Empty.FloatFromCurve.FloatCurve
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
Name,Empty.ScaleSpriteSize.Uniform Curve Sprite Scale
RegisteredParameterMapRead,None
RegisteredParameterMapWrite,None
FullName,SystemSpawnScript
FriendlyName,SystemSpawnScript
FullName,Empty
FriendlyName,Empty
FullName,SystemSpawnScript_Main
FriendlyName,Main
FullName,SystemSpawnScript_MapMain
FriendlyName,MapMain
FullName,SystemUpdateScript
FriendlyName,SystemUpdateScript
FullName,SystemState_Func_
FriendlyName,SystemState
FullName,Empty
FriendlyName,Empty
FullName,EmitterState_Empty_Func_
FriendlyName,EmitterState_Empty
FullName,SpawnRate_Empty_Func_
FriendlyName,SpawnRate_Empty
FullName,SpawnBurst_Instantaneous_Empty_Func_
FriendlyName,SpawnBurst_Instantaneous_Empty
FullName,SystemUpdateScript_Main
FriendlyName,Main
FullName,SystemUpdateScript_MapMain
FriendlyName,MapMain
IdName,A910154940E3D778DCA136AF5EBFE8AA
Name,Empty
