Key,Value
FuncText0,Color
FuncText0,Color
FuncText0,
FuncText0,メンタルサポート
FuncText19,程よい細さの火鉢Ⅲ
FuncText19,程よい細さの火鉢Ⅱ
FuncText19,程よい細さの火鉢Ⅰ
FuncText20,壊完治！
FuncText20,32BD761E4276A4A0C629FE8997FFF4E2
FuncText20,
FuncText21,","
FuncText21,
FuncText21,","
FuncText21,
FuncText21,","
FuncText21,
Name,
FlavorText,
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,
Name,Hell_Num_2
BindingName,Hell_Num_2
Name,Hell_Num
BindingName,Hell_Num
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
Text_1,
Text_2,6B089F8946D0FCC7E522BA9A8DB3D5A1
Text_3,残り
TypefaceFontName,Default
Text_1,
Text_2,88CF256040C0E3CB0E30DAB9D9D0142B
Text_3,壊完治まで
TypefaceFontName,Default
Text_1,
Text_2,F9406D0C439C3C04734980B5C82EEA2B
Text_3,稼ぎ
TypefaceFontName,Default
Text_1,
Text_2,7F730F8647CE472C2BCBA7B9FA9C353A
Text_3,日
TypefaceFontName,Default
Text_1,
Text_2,7F730F8647CE472C2BCBA7B9FA9C353A
Text_3,日
TypefaceFontName,Default
Text_1,
Text_2,9FD6534A4C8DB22BC4D5FCA80CE3161B
Text_3,円
TypefaceFontName,Default
Text_1,
Text_2,ECA7B9EB4479E9ACF0E3018C4FB889EF
Text_3,3
TypefaceFontName,Default
Text_1,
Text_2,ECA7B9EB4479E9ACF0E3018C4FB889EF
Text_3,3
TypefaceFontName,Default
Text_1,
Text_2,D6BBEF25460F88729D5EFAABAADE55DC
Text_3,9999999
TypefaceFontName,Default
Text_1,
Text_2,3142E0964813C774C7C97AB2EA9594AB
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,B8B157C84C6BD01B2360458357970B1E
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,3142E0964813C774C7C97AB2EA9594AB
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,3142E0964813C774C7C97AB2EA9594AB
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,3142E0964813C774C7C97AB2EA9594AB
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,3142E0964813C774C7C97AB2EA9594AB
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,3142E0964813C774C7C97AB2EA9594AB
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,3142E0964813C774C7C97AB2EA9594AB
Text_3,テキスト
TypefaceFontName,Default
Text_1,
Text_2,B3BBE5F84F7D79334ACB52A640C298E0
Text_3,名前
TypefaceFontName,Default
Text_1,
Text_2,C0CD2F09413153E88A90CBB2FFE0EE47
Text_3,イアイドー
TypefaceFontName,Default
StatusText_1,
StatusText_2,6F48C0F341A781ED0697328CF8D1C3B3
StatusText_3,CON
StatusText_1,
StatusText_2,6F48C0F341A781ED0697328CF8D1C3B3
StatusText_3,CON
StatusText_1,
StatusText_2,228B96E3485BC0CD4B1DC6B9B4CCCA81
StatusText_3,LKS
StatusText_1,
StatusText_2,228B96E3485BC0CD4B1DC6B9B4CCCA81
StatusText_3,LKS
StatusText_1,
StatusText_2,8A0B545948F6C4178295E39AA1921A6C
StatusText_3,MNT
StatusText_1,
StatusText_2,8A0B545948F6C4178295E39AA1921A6C
StatusText_3,MNT
WidgetName,Hell_Num
SlotWidgetName,None
DisplayLabel,TimeCount2
WidgetName,Hell_Num
SlotWidgetName,None
DisplayLabel,TimeCount
