Key,Value
FuncText1,VP
FuncText1,568EDF4F46DFA9D136EB10A3F5B642B5
FuncText1,
FuncText1,100
FuncText1,285D315B495D9848B63FDCA1FA0FCC59
FuncText1,
FuncText1,\n
FuncText1,　
FuncText1,　　　
TypefaceFontName,Default
TypefaceFontName,Default
ComponentPropertyName,Btn_Skill_Slot_Base
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Skill_Slot_1_Btn_Skill_Slot_Base_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Btn_Skill_Slot_Base
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Skill_Slot_1_Btn_Skill_Slot_Base_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Text,MP
TypefaceFontName,Default
Text_1,
Text_2,869481B74685B11C1E94CCA91349A6EB
Text_3,慌てる事しか出来ない全体毒撃   超威力に怯え大ATKデバフまで
TypefaceFontName,Default
Text_1,
Text_2,869481B74685B11C1E94CCA91349A6EB
Text_3,慌てる事しか出来ない全体毒撃   超威力に怯え大ATKデバフまで
TypefaceFontName,Default
Text_1,
Text_2,5ABCDBB242709E9485B01FB5C9300DB7
Text_3,100
TypefaceFontName,Default
Text_1,
Text_2,54A4D2BF47A21ECA66AA2EB4BBD65840
Text_3,いきなりすごい火
TypefaceFontName,Default
Text_1,
Text_2,FDBA38334B3260984766C795E8B2E5D0
Text_3,HEAT
TypefaceFontName,Default
DisplayLabel,NewAnimation_2
DisplayLabel,NewAnimation
