Key,Value
Name,CanvasPanel_0
Name,CanvasPanelSlot_19
Name,Dmg_02_GRP
Name,CanvasPanelSlot_5
Name,Dmg_01_GRP
Name,Image_1
Name,Txt_digit
Name,Image_3
Name,Image_2
Name,Image_4
Name,Image_5
BindingName,CanvasPanel_0
BindingName,CanvasPanelSlot_19
BindingName,Dmg_02_GRP
BindingName,CanvasPanelSlot_5
BindingName,Dmg_01_GRP
BindingName,Image_1
BindingName,Txt_digit
BindingName,Image_3
BindingName,Image_2
BindingName,Image_4
BindingName,Image_5
Name,Image_1
Name,Txt_digit
Name,Image_2
Name,Image_3
Name,Image_4
Name,Image_5
Name,CanvasPanel_0
BindingName,Image_1
BindingName,Image_digit
BindingName,Image_3
BindingName,Image_4
BindingName,Image_5
BindingName,Image_5
BindingName,CanvasPanel_0
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
WidgetName,CanvasPanel
SlotWidgetName,None
WidgetName,Dmg_02_GRP
SlotWidgetName,None
WidgetName,Dmg_02_GRP
SlotWidgetName,CanvasPanelSlot
WidgetName,Dmg_01_GRP
SlotWidgetName,None
WidgetName,Dmg_01_GRP
SlotWidgetName,CanvasPanelSlot
WidgetName,Image
SlotWidgetName,None
WidgetName,Txt_digit
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
DisplayLabel,Damage_Anm
WidgetName,Image
SlotWidgetName,None
WidgetName,Txt_digit
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
WidgetName,Image
SlotWidgetName,None
WidgetName,CanvasPanel
SlotWidgetName,None
DisplayLabel,Recover_Anm
