Key,Value
ObjectName,ProgressBar_HP
PropertyName,Percent
FunctionName,Get_ProgressBar_HP
Name,Get_ProgressBar_HP
ObjectName,ProgressBar_MP
PropertyName,Percent
FunctionName,Get_ProgressBar_MP
Name,Get_ProgressBar_MP
ObjectName,ProgressBar_MP
PropertyName,Visibility
FunctionName,AllyOnly
Name,AllyOnly
ObjectName,ProgressBar_VP
PropertyName,Percent
FunctionName,Get_ProgressBar_VP
Name,Get_ProgressBar_VP
ObjectName,Icon_MP_Down
PropertyName,Visibility
FunctionName,Get_Icon_MP_Down_Visibility
Name,Get_Icon_MP_Down_Visibility
ObjectName,ProgressBar_MP_Minus
PropertyName,Percent
FunctionName,Get_ProgressBar_MP_Minus
Name,Get_ProgressBar_MP_Minus
ObjectName,ProgressBar_Damage
PropertyName,Percent
FunctionName,Get_ProgressBar_Damage_Percent
Name,Get_ProgressBar_Damage_Percent
ObjectName,ProgressBar_Damage
PropertyName,FillColorAndOpacity
FunctionName,Get_ProgressBar_Damage_FillColorAndOpacity
Name,Get_ProgressBar_Damage_FillColorAndOpacity
Name,Gage_Sta_HP_Fire
Name,Gage_Sta_MP_Fire
Name,Gage_Sta_VP_Fire
Name,Gage_Sta_MP_Fire_Minus
Name,Icon_HP_Guide
Name,Icon_MP_Guide
Name,Icon_VP_Guide
BindingName,Gage_Sta_HP_Fire
BindingName,Gage_Sta_MP_Fire_1
BindingName,Gage_Sta_VP_Fire
BindingName,Gage_Sta_MP_Fire_Minus
BindingName,Icon_HP_Guide
BindingName,Icon_MP_Guide
BindingName,Icon_VP_Guide
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
WidgetName,Gage_Sta_HP_Fire
SlotWidgetName,None
WidgetName,Gage_Sta_MP_Fire
SlotWidgetName,None
WidgetName,Gage_Sta_VP_Fire
SlotWidgetName,None
WidgetName,Gage_Sta_MP_Fire_Minus
SlotWidgetName,None
WidgetName,Icon_HP_Guide
SlotWidgetName,None
WidgetName,Icon_MP_Guide
SlotWidgetName,None
WidgetName,Icon_VP_Guide
SlotWidgetName,None
DisplayLabel,Fire_Blink_HP
