Key,Value
Name,Img_Resist
BindingName,Img_Resist
Name,Img_Weak
Name,Icon_Btl_Weak_01
Name,Icon_Btl_Weak_02
Name,Icon_Btl_Weak_03
Name,Icon_Btl_Weak_04
BindingName,Img_Weak
BindingName,Icon_Btl_Weak_01
BindingName,Icon_Btl_Weak_02
BindingName,Icon_Btl_Weak_03
BindingName,Icon_Btl_Weak_04
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
WidgetName,Img_Resist
SlotWidgetName,None
DisplayLabel,ResistanceAnimation
WidgetName,Img_Weak
SlotWidgetName,None
WidgetName,Icon_Btl_Weak_01
SlotWidgetName,None
WidgetName,Icon_Btl_Weak_02
SlotWidgetName,None
WidgetName,Icon_Btl_Weak_03
SlotWidgetName,None
WidgetName,Icon_Btl_Weak_04
SlotWidgetName,None
DisplayLabel,WeekAnimation
