Key,Value
Name,ClippingMask
Name,CanvasPanelSlot_2
BindingName,CanvasPanel_36
BindingName,CanvasPanelSlot_2
Name,ImageNull
BindingName,Image_60
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,RenderTransformPivot
PropertyPath,RenderTransformPivot
TextureParameter,Mask
Text_1,
Text_2,BED1AE38492962D9100C2FB3018F2673
Text_3,CLEANUP!
TypefaceFontName,Default
Text_1,
Text_2,36AA3B804805AA2BC481FE9035C71CCE
Text_3,CLEANUP!
TypefaceFontName,Default
Text_1,
Text_2,19C0122647DA89003E17418858F9EEAB
Text_3,CLEANUP!
TypefaceFontName,Default
Text_1,
Text_2,860980D74A98C5B4A1EE3983ADDD818A
Text_3,CLEANUP!
TypefaceFontName,Default
Text_1,
Text_2,7DDDF3B84BEEFEDC9F0103A2E168FA21
Text_3,3
TypefaceFontName,Default
Text_1,
Text_2,E60384A24D821BEE3DAF649C3C3EA21C
Text_3,8
TypefaceFontName,Default
Text_1,
Text_2,DD1422CB48244A974C913AAC719FCFA0
Text_3,CLEANUP!
TypefaceFontName,Default
Text_1,
Text_2,FE8B7E14436065A207F77CA92EDF7042
Text_3,CLEANUP!
TypefaceFontName,Default
WidgetName,ClippingMask
SlotWidgetName,None
WidgetName,ClippingMask
SlotWidgetName,CanvasPanelSlot
DisplayLabel,ResultTitleFadeIn
WidgetName,ImageNull
SlotWidgetName,None
DisplayLabel,TextEffect
