Key,Value
FuncText1,0
FuncText1,2A0521B944DDD6B86B0DCBB504123C4B
FuncText1,
FuncText1,0
FuncText1,017709654A805FFC56043FA9601CE447
FuncText1,
ComponentPropertyName,WBP_Sta_Lv
DelegatePropertyName,GageUpAnimED
FunctionNameToBind,BndEvt__05_Result_Party_Status_WBP_Sta_Lv_K2Node_ComponentBoundEvent_0_GageUpAnimED__DelegateSignature
Name,CanvasPanelSlot_11
Name,Img_Lv_UP
Name,WBP_Eff_Radial
BindingName,CanvasPanelSlot_11
BindingName,Img_Lv_UP
BindingName,WBP_Eff_Radial
Name,Chara_Face
BindingName,Chara_Face
Name,Chara_Face
BindingName,Chara_Face
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,Visibility
PropertyPath,Visibility
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,RenderTransformPivot
PropertyPath,RenderTransformPivot
Text_1,
Text_2,05D7742547803EB4C64E228B06ED1D0A
Text_3,9999
TypefaceFontName,Default
Text_1,
Text_2,05D7742547803EB4C64E228B06ED1D0A
Text_3,9999
TypefaceFontName,Default
WidgetName,Img_Lv_UP
SlotWidgetName,None
WidgetName,Img_Lv_UP
SlotWidgetName,CanvasPanelSlot
WidgetName,WBP_Eff_Radial
SlotWidgetName,None
DisplayLabel,Anm_LvUp
WidgetName,Chara_Face
SlotWidgetName,None
DisplayLabel,Anm_SD_1
WidgetName,Chara_Face
SlotWidgetName,None
DisplayLabel,Anm_SD_2
