Key,Value
FuncText0,スキップできません
FuncText12,勝利
FuncText12,63D8343248E2B440204EC1B364FA74BA
FuncText12,
FuncText12,敗北
FuncText12,D32494574819CA802606B5B05001D23C
FuncText12,
ComponentPropertyName,05_1_Result_Party_Status
DelegatePropertyName,ResultAnimAllED
FunctionNameToBind,BndEvt__WBP_Result_Win_Main_05_1_Result_Party_Status_K2Node_ComponentBoundEvent_4_ResultAnimAllED__DelegateSignature
ComponentPropertyName,04_Result_Sum_Star
DelegatePropertyName,ResultStarAnimED
FunctionNameToBind,BndEvt__WBP_Result_Win_Main_04_Result_Sum_Star_K2Node_ComponentBoundEvent_3_ResultStarAnimED__DelegateSignature
ComponentPropertyName,01_Result_Title_Win
DelegatePropertyName,ResultTitleAnimED
FunctionNameToBind,BndEvt__WBP_Result_Win_Main_01_Result_Title_Win_K2Node_ComponentBoundEvent_0_ResultTitleAnimED__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Result_Win_Main_Button_115_K2Node_ComponentBoundEvent_2_OnButtonClickedEvent__DelegateSignature
Name,obi_black_ue
Name,obi_black_sita
BindingName,obi_black_ue
BindingName,obi_black_sita
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
WidgetName,obi_black_ue
SlotWidgetName,None
WidgetName,obi_black_sita
SlotWidgetName,None
DisplayLabel,InBlackBand
