Key,Value
Name,ItemIcon
Name,WBP_Eff_Radial
Name,Flavor_Text
Name,Flavor_Text_Anm
Name,WBP_Item_Tag
Name,Black
Name,Bar_up
Name,Bar_down
BindingName,ItemIcon
BindingName,WBP_Eff_Radial
BindingName,Flavor_Text
BindingName,Flavor_Text_Anm
BindingName,WBP_Item_Tag
BindingName,Black
BindingName,Bar_up
BindingName,Bar_down
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
Text_1,
Text_2,0EDE7A68459CE5652DC603836B983B8D
Text_3,お手軽おしゃれにカロリー摂取<cf>きのこメインなトッピング
TypefaceFontName,Default
Text_1,
Text_2,78FCED7F40189E2FE25EBF9DD345BB97
Text_3,チョコたっぷり
TypefaceFontName,Default
WidgetName,ItemIcon
SlotWidgetName,None
WidgetName,WBP_Eff_Radial
SlotWidgetName,None
WidgetName,Flavor_Text
SlotWidgetName,None
WidgetName,Flavor_Text_Anm
SlotWidgetName,None
WidgetName,WBP_Item_Tag
SlotWidgetName,None
WidgetName,Black
SlotWidgetName,None
WidgetName,Bar_up
SlotWidgetName,None
WidgetName,Bar_down
SlotWidgetName,None
DisplayLabel,Anm_Item_In
