Key,Value
Name,TextBlock_1
Name,TextBlock_2
BindingName,TextBlock_1
BindingName,TextBlock_2
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
Text_1,
Text_2,C9FDA14647F3E952BC418D86F93CE806
Text_3,9
TypefaceFontName,Default
Text_1,
Text_2,CB1B10974A133A3C9CFAD6B6BFDDC84E
Text_3,LLv
TypefaceFontName,Default
Text_1,
Text_2,B0FE57DC4F56E68B5AB165BA0C0F6740
Text_3,LLv
TypefaceFontName,Default
Text_1,
Text_2,64ADF70D46CF83CEE5DEE8A53B0C125B
Text_3,10
TypefaceFontName,Default
WidgetName,TextBlock
SlotWidgetName,None
WidgetName,TextBlock
SlotWidgetName,None
DisplayLabel,Anm_Text_Color
