Key,Value
ComponentPropertyName,Btn_R1_Hand
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Btn_Hand_R_Btn_R1_Hand_K2Node_ComponentBoundEvent_2_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Btn_R1_Hand
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Btn_Hand_R_Btn_R1_Hand_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Btn_R1_Hand
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Btn_Hand_R_Btn_R1_Hand_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Name,boya
BindingName,boya
PropertyName,RenderTransform
PropertyPath,RenderTransform
Row Name,R
WidgetName,boya
SlotWidgetName,None
DisplayLabel,Anm_Hand_R
