Key,Value
ComponentPropertyName,Btn_Under_Hand
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Btn_Hand_Under_Btn_Under_Hand_K2Node_ComponentBoundEvent_2_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Btn_Under_Hand
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Btn_Hand_Under_Btn_Under_Hand_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Btn_Under_Hand
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Btn_Hand_Under_Btn_Under_Hand_K2Node_ComponentBoundEvent_0_OnButtonClickedEvent__DelegateSignature
Name,RD
BindingName,RD
Name,boya
BindingName,boya
Name,Btn_Under_Hand_GRP
BindingName,Btn_Under_Hand_GRP
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
TextureParameter,Mask
WidgetName,RD
SlotWidgetName,None
DisplayLabel,Anm_Cursor_Text
WidgetName,boya
SlotWidgetName,None
DisplayLabel,Anm_Hand_Under
WidgetName,Btn_Under_Hand_GRP
SlotWidgetName,None
DisplayLabel,HoverAnimation
