Key,Value
Name,Black_Bar_1
Name,Black_Bar_2
Name,Black_Bar_3
Name,Black_Bar_2_2
Name,Black_Bar_3_2
BindingName,Black_Bar_1
BindingName,Black_Bar_2
BindingName,Black_Bar_3
BindingName,Black_Bar_2
BindingName,Black_Bar_3
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
WidgetName,Black_Bar
SlotWidgetName,None
WidgetName,Black_Bar
SlotWidgetName,None
WidgetName,Black_Bar
SlotWidgetName,None
WidgetName,Black_Bar
SlotWidgetName,None
WidgetName,Black_Bar
SlotWidgetName,None
WidgetName,Black_Bar
SlotWidgetName,None
DisplayLabel,Anm_Black_Bar
