Key,Value
Name,Mov_TV
Name,Map_Smaple_m_mini
Name,TV_Black
Name,CanvasPanelSlot_0
Name,DayNameText_2
Name,DayText_2
Name,DayNameText_1
Name,PreDayText_1
Name,Fade_BK_IN
Name,Fade_BK_OUT
Name,TV_Shadow
Name,Bg_Back_Color
Name,PreDayCountBox
Name,DayCountBox_1
Name,TV
Name,BackgroundBlur_365
Name,Color_Bar
BindingName,Mov_TV
BindingName,Map_Smaple
BindingName,Black
BindingName,CanvasPanelSlot_0
BindingName,DayNameText_1
BindingName,DayText_1
BindingName,DayNameText_2
BindingName,PreDayText_2
BindingName,Fade_BK
BindingName,Fade_BK
BindingName,TV_Shadow
BindingName,Back_RD
BindingName,PreDayCountBox
BindingName,DayCountBox_1
BindingName,TV
BindingName,BackgroundBlur_365
BindingName,Color_Bar
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,ColorAndOpacity
PropertyPath,ColorAndOpacity
PropertyName,BlurStrength
PropertyPath,BlurStrength
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
Text_1,
Text_2,78FD62A848762129E555A78ACDAD12A4
Text_3,DAY
TypefaceFontName,Default
Text_1,
Text_2,E2B6055D480770029A531F98CE5123D2
Text_3,DAY
TypefaceFontName,Default
Text_1,
Text_2,F0774A004532E09E0A5CFFBDCFA832E0
Text_3,999
TypefaceFontName,Default
Text_1,
Text_2,F0774A004532E09E0A5CFFBDCFA832E0
Text_3,999
TypefaceFontName,Default
WidgetName,Mov_TV
SlotWidgetName,None
WidgetName,Map_Smaple_m_mini
SlotWidgetName,None
WidgetName,TV_Black
SlotWidgetName,None
WidgetName,Map_Smaple_m_mini
SlotWidgetName,CanvasPanelSlot
WidgetName,DayNameText
SlotWidgetName,None
WidgetName,DayText
SlotWidgetName,None
WidgetName,DayNameText
SlotWidgetName,None
WidgetName,PreDayText
SlotWidgetName,None
WidgetName,Fade_BK
SlotWidgetName,None
WidgetName,Fade_BK
SlotWidgetName,None
WidgetName,TV_Shadow
SlotWidgetName,None
WidgetName,Bg_Back_Color
SlotWidgetName,None
WidgetName,PreDayCountBox
SlotWidgetName,None
WidgetName,DayCountBox
SlotWidgetName,None
WidgetName,TV
SlotWidgetName,None
WidgetName,BackgroundBlur
SlotWidgetName,None
WidgetName,Color_Bar
SlotWidgetName,None
DisplayLabel,Anm_TV
