Key,Value
FuncText20,_C
FuncText20,_C
Name,Base_Color
Name,Manual_Contents
Name,WBP_Mov_Txt_L
Name,WBP_Mov_Txt_R
BindingName,Base_Color
BindingName,Manual_Contents
BindingName,WBP_Mov_Txt_L
BindingName,WBP_Mov_Txt_R
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
Text_1,
Text_2,13ECBC8E45AB67F45C492D939B810562
Text_3,マ<cf>ニ<cf>ュ<cf>ア<cf>ル
TypefaceFontName,Default
Row Name,B
WidgetName,Base_Color
SlotWidgetName,None
WidgetName,Manual_Contents
SlotWidgetName,None
WidgetName,WBP_Mov_Txt_L
SlotWidgetName,None
WidgetName,WBP_Mov_Txt_R
SlotWidgetName,None
DisplayLabel,Anm_Base_In
