Key,Value
FuncText0,03_Kenne01
FuncText0,03_Kenne03
FuncText19,地獄ID
FuncText19,を解放
FuncText27,へそくり
FuncText27,ひったくり
FuncText27,模範従業員Ⅰ
FuncText27,良好な第一印象Ⅰ
FuncText27,哀れみの施し
FuncText27,プラシーボ効果
FuncText27,再配置業者
FuncText27,安全地帯Ⅰ
FuncText27,伝言ボード
FuncText27,よく噛んで食べるⅠ
FuncText27,漁夫の利
FuncText27,タイムセールⅠ
FuncText27,タイムセールⅡ
FuncText27,タイムセールⅢ
FuncText27,タイムセールⅣ
FuncText27,プレミア品大放出Ⅰ
FuncText27,セット販売
FuncText27,闇ルート
FuncText27,福引サービス
FuncText27,生への渇望Ⅰ
FuncText27,干支の加護Ⅰ
FuncText27,鉄壁のガード
FuncText27,メンタルサポート
FuncText27,会話術
FuncText27,物置Ⅰ
FuncText27,秘密の空き部屋Ⅰ
FuncText27,未認証試薬Ⅰ
FuncText27,程よい細さの火鉢Ⅰ
FuncText27,禍々しい装置の部屋
FuncText29,<cf><cf>
FuncText29,<cf><cf>
FuncText29,必要還処石：
FuncText29,<cf><cf>
FuncText29,特典を獲得しますか？
FuncText29,<cf><cf>
FuncText29,
NextMission,
InternalVariableName,DefaultSceneRoot
