Key,Value
ItemName_6_D697225C421B8140B8854F897C27CA17,砥石プロ用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン ATKバフ50%
ItemName_6_D697225C421B8140B8854F897C27CA17,X線眼鏡プロ用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン TECバフ50%
ItemName_6_D697225C421B8140B8854F897C27CA17,ハイギアプロ用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン SPDバフ100%
ItemName_6_D697225C421B8140B8854F897C27CA17,土のうプロ用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン DEFバフ50%
ItemName_6_D697225C421B8140B8854F897C27CA17,研磨剤業務用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン ATKデバフ50%
ItemName_6_D697225C421B8140B8854F897C27CA17,消臭剤業務用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン TECデバフ50%
ItemName_6_D697225C421B8140B8854F897C27CA17,漂白剤業務用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン SPDデバフ100%
ItemName_6_D697225C421B8140B8854F897C27CA17,柔軟剤業務用
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,バトル中2ターン DEFデバフ50%
ItemName_6_D697225C421B8140B8854F897C27CA17,ごほうびアイス
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,戦闘不能回復
ItemName_6_D697225C421B8140B8854F897C27CA17,百貨店商品券
Comment_8_3A4FA1A142EB0BE98DEAB8B1D52E29B7,LP(好感度)+300
