Key,Value
Name_2_7FD4EACD462D7DA635E576B5FD64BA11,
Description_34_1A93724B418505F6F952C082F3B96278,
Comment_40_F668A4FE475E2D35F54530A515194555,
ComponentPropertyName,BackButton
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_ManagmentHell_Main_BackButton_K2Node_ComponentBoundEvent_1_OnButtonClickedEvent__DelegateSignature
Name,CanvasPanelSlot_2
Name,Image_Falling
BindingName,CanvasPanelSlot_2
BindingName,Image_Falling
Name,CanvasPanelSlot_2
Name,Image_Falling
BindingName,CanvasPanelSlot_2
BindingName,Image_Falling
Name,Image_Falling
Name,CanvasPanelSlot_2
BindingName,Image_Falling
BindingName,CanvasPanelSlot_2
Name,Image_Falling
Name,CanvasPanelSlot_2
BindingName,Image_Falling
BindingName,CanvasPanelSlot_2
Name,CanvasPanelSlot_43
Name,Txt_Hell_Count_GRP
Name,CanvasPanel_0
Name,Hell_Title
Name,POPUP_Hell_R1
Name,POPUP_Hell_L1
Name,WBP_DeadDetail_Main
Name,WBP_DeadDetail_Main_1
Name,WBP_DeadDetail_Main_2
BindingName,CanvasPanelSlot_43
BindingName,VerticalBox_0
BindingName,CanvasPanel_0
BindingName,Hell_Title
BindingName,POPUP_Hell_R1
BindingName,POPUP_Hell_L1
BindingName,WBP_DeadDetail_Main
BindingName,WBP_DeadDetail_Main_1
BindingName,WBP_DeadDetail_Main_2
Name,CanvasPanelSlot_43
Name,Txt_Hell_Count_GRP
Name,CanvasPanelSlot_52
Name,L_Card
Name,CanvasPanel_0
Name,Hell_Title
Name,POPUP_Hell_R1
Name,POPUP_Hell_L1
BindingName,CanvasPanelSlot_43
BindingName,VerticalBox_0
BindingName,CanvasPanelSlot_52
BindingName,CanvasPanel_Card
BindingName,CanvasPanel_0
BindingName,Hell_Title
BindingName,POPUP_Hell_R1
BindingName,POPUP_Hell_L1
Name,CanvasPanel_0
BindingName,CanvasPanel_0
Name,Btn_LR
BindingName,Btn_LR
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,Visibility
PropertyPath,Visibility
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,RenderOpacity
PropertyPath,RenderOpacity
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
Text_1,
Text_2,ED88684543ACF44F21482C8961F6F116
Text_3,奪花率
TypefaceFontName,Default
Text_1,
Text_2,7964036D4A351E8F7B5537A015B97690
Text_3,派遣できる地獄
TypefaceFontName,Default
Text_1,
Text_2,956BFF4A49D70D476702D88BA9D139A2
Text_3,与種率
TypefaceFontName,Default
Text_1,
Text_2,FD1F6B54424E318D8924D4BD29E3B6E4
Text_3,8
TypefaceFontName,Default
Text_1,
Text_2,15FD008D48723473C29DE18FB7F8074E
Text_3,/
TypefaceFontName,Default
Text_1,
Text_2,64119CA6474F2D3C5921FC82B1678C6A
Text_3,8
TypefaceFontName,Default
Text_1,
Text_2,DDCFB61A4AFCCF00312770B5C8403D1A
Text_3,派遣できる亡者
TypefaceFontName,Default
Text_1,
Text_2,F2F0A8B34BB18DDFB4ED339D9DFC5FD9
Text_3,/
TypefaceFontName,Default
Text_1,
Text_2,15E4716545B02B6202CEAEAAB6F4E8F7
Text_3,8
TypefaceFontName,Default
Text_1,
Text_2,82DA87B84FF981F2B468A3BC10356B32
Text_3,100
TypefaceFontName,Default
Text_1,
Text_2,058A3AA344450BEAB462189C71016EEE
Text_3,％
TypefaceFontName,Default
Text_1,
Text_2,7401BADB45535EF189A0599B2DF6290C
Text_3,8
TypefaceFontName,Default
Text_1,
Text_2,A0A7181C43680DC8013C5AA78221FAC6
Text_3,地獄説明文地獄説明文<cf>地獄説明文地獄説明文<cf>地獄説明文地獄説明文
TypefaceFontName,Default
Text_1,
Text_2,FB1370B843CC298DDDD3A3BE96F1B31F
Text_3,付<cf>与<cf>色
TypefaceFontName,Default
Text_1,
Text_2,563BE8FF4A0BD6633D144985136CA1AA
Text_3,適<cf>合<cf>色
TypefaceFontName,Default
Text_1,
Text_2,4F2C66524EF2C580B36078876C3B4193
Text_3,99
TypefaceFontName,Default
Text_1,
Text_2,6C3E79474E9EBBF45C9F0C9F9FA28AF5
Text_3,％
TypefaceFontName,Default
Btn_Cmn_Text_L_Main,地獄送り
Btn_Cmn_Text_L_Sub,GO TO HELL
Row Name,A
Btn_Cmn_Text_L_Main,地獄から戻す
Btn_Cmn_Text_L_Sub,RETURN  TO  HELL
Row Name,A
Btn_Cmn_Text_L_Main,処分
Btn_Cmn_Text_L_Sub,TRASH
Row Name,X
Row Name,B
Title_L01_Text_Main,地獄送り
Title_L02_Text_Main,地獄送り
Title_L03_Text_Main,地獄送り
Title_L_Text_Sub,HELL DISPATCH SERVICES
Row Name,R
Guide_1,
Guide_2,FF2EA629437DE318559703985882F813
Guide_3,亡者選択
Row Name,L
WidgetName,Image_Falling
SlotWidgetName,None
WidgetName,Image_Falling
SlotWidgetName,CanvasPanelSlot
DisplayLabel,FallinfLoop
WidgetName,Image_Falling
SlotWidgetName,None
WidgetName,Image_Falling
SlotWidgetName,CanvasPanelSlot
DisplayLabel,Falling
WidgetName,Image_Falling
SlotWidgetName,None
WidgetName,Image_Falling
SlotWidgetName,CanvasPanelSlot
DisplayLabel,FallingIn
WidgetName,Image_Falling
SlotWidgetName,None
WidgetName,Image_Falling
SlotWidgetName,CanvasPanelSlot
DisplayLabel,FallingUp
WidgetName,Txt_Hell_Count_GRP
SlotWidgetName,None
WidgetName,Txt_Hell_Count_GRP
SlotWidgetName,CanvasPanelSlot
WidgetName,CanvasPanel
SlotWidgetName,None
WidgetName,Hell_Title
SlotWidgetName,None
WidgetName,POPUP_Hell_R1
SlotWidgetName,None
WidgetName,POPUP_Hell_L1
SlotWidgetName,None
WidgetName,WBP_DeadDetail_Main
SlotWidgetName,None
WidgetName,WBP_DeadDetail_Main
SlotWidgetName,None
WidgetName,WBP_DeadDetail_Main
SlotWidgetName,None
DisplayLabel,FallOutAnim
WidgetName,Txt_Hell_Count_GRP
SlotWidgetName,None
WidgetName,Txt_Hell_Count_GRP
SlotWidgetName,CanvasPanelSlot
WidgetName,L_Card
SlotWidgetName,None
WidgetName,L_Card
SlotWidgetName,CanvasPanelSlot
WidgetName,CanvasPanel
SlotWidgetName,None
WidgetName,Hell_Title
SlotWidgetName,None
WidgetName,POPUP_Hell_R1
SlotWidgetName,None
WidgetName,POPUP_Hell_L1
SlotWidgetName,None
DisplayLabel,In_Anim
WidgetName,CanvasPanel
SlotWidgetName,None
DisplayLabel,Out_Anim
WidgetName,Btn_LR
SlotWidgetName,None
DisplayLabel,RotateAnimation
