Key,Value
FuncText0,在庫
FuncText0,99CC2C62416D5B176495D089D9F664EC
FuncText0,
Text_1,
Text_2,890ED81947F3E88BB8C68BB0813D6045
Text_3,効果名フレーバーテキスト<cf>効果名フレーバーテキスト
TypefaceFontName,Default
Text_1,
Text_2,B2C68C16484DBB26511AEC9AF57AF570
Text_3,チョコたっぷり
TypefaceFontName,Default
Text_1,
Text_2,417E9E0642A4AE0F32BC64876964A27A
Text_3,"888,888"
TypefaceFontName,Default
Text_1,
Text_2,EE38216F46B6FCCC2B48499E9CC22F16
Text_3,"8,888,000"
TypefaceFontName,Default
Text_1,
Text_2,AB4152044AF31F01C37ED9961DB52D3B
Text_3,"888,888"
TypefaceFontName,Default
Text_1,
Text_2,3EE3CF3D4999590771AF1EB7CE5D9212
Text_3,99
TypefaceFontName,Default
Text_1,
Text_2,C6911A4D4C56CB6F7D92E7AF33FA226E
Text_3,所持
TypefaceFontName,Default
Text_1,
Text_2,862A71C44080685101D57DB1FA1CE559
Text_3,所持
TypefaceFontName,Default
Text_1,
Text_2,DAA93D5A40ACA729B4DB2C880333B3D6
Text_3,99
TypefaceFontName,Default
Text_1,
Text_2,8A22145E4AC577D4E274F8BEE367E900
Text_3,*
TypefaceFontName,Default
Text_1,
Text_2,766D285A4C7EF7790333DCBE2A71C23A
Text_3,*
TypefaceFontName,Default
Text_1,
Text_2,D21F78ED41C6D0F4FFCE7FB2733A2D65
Text_3,e
TypefaceFontName,Default
Text_1,
Text_2,99FA640A412F456E6BED17A9B74010F4
Text_3,e
TypefaceFontName,Default
Text_1,
Text_2,8589660D45292B53990C45B557E44128
Text_3,e
TypefaceFontName,Default
