Key,Value
FuncText0,は、DT_Tokutenにない
FuncText0,還処
FuncText0,亡者
FuncText0,売店
FuncText0,清掃
FuncText0,周回
FuncText0,還処
FuncText0,亡者
FuncText0,売店
FuncText0,清掃
FuncText0,周回
SkillName_1,
SkillName_2,A3E79540480C19BE68223DA311159F74
SkillName_3,スキル名
DispSkill_20_FF7EDD6641878E78FBBDB0A9FC9D98EE,
DispText_23_B6499FC949DB93219F1F8380C906F8E3,
Type_26_BE5FBFEF46F3D65C72DD46B4959746A0,
Text_1,
Text_2,E6F37AEA4D2D81EEB9E8448599580025
Text_3,プレミア品大放出Ⅲ
TypefaceFontName,Default
Text_1,
Text_2,BD52E7E6452D9938DC5A1A95C83DA9BB
Text_3,???
TypefaceFontName,Default
Text_1,
Text_2,114481AD4027C542076C89A0E5287F95
Text_3,売店
TypefaceFontName,Default
