Key,Value
FuncText0,は、DT_Tokutenにない
FuncText0,還処
FuncText0,亡者
FuncText0,売店
FuncText0,清掃
FuncText0,周回
FuncText0,還処
FuncText0,亡者
FuncText0,売店
FuncText0,清掃
FuncText0,周回
SkillName_1,
SkillName_2,EA00350F4D68A2E1F4A024A0FD194318
SkillName_3,スキル名
DispSkill_20_FF7EDD6641878E78FBBDB0A9FC9D98EE,
DispText_23_B6499FC949DB93219F1F8380C906F8E3,
Type_26_BE5FBFEF46F3D65C72DD46B4959746A0,
TextureParameter,None
Text_1,
Text_2,0342E08747FE526F88AE0694D78A9984
Text_3,プレミア品大放出Ⅲ
TypefaceFontName,Default
Text_1,
Text_2,1B4D54B040192569B0270FBBA653E924
Text_3,???
TypefaceFontName,Default
Text_1,
Text_2,BA490C194E662E2A810BC5BF53C18367
Text_3,売店
TypefaceFontName,Default
