Key,Value
FuncText0,WBP_Btn_Cmn_L2_Clicked
ComponentPropertyName,Button
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Btn_Cmn_P_L_Button_834_K2Node_ComponentBoundEvent_2_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Btn_Cmn_P_L_Button_834_K2Node_ComponentBoundEvent_0_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Btn_Cmn_L_Button_834_K2Node_ComponentBoundEvent_1_OnButtonClickedEvent__DelegateSignature
ResourceName,0
Name,CanvasPanelSlot_1
Name,boya
BindingName,CanvasPanelSlot_1
BindingName,boya
PropertyName,RenderTransform
PropertyPath,RenderTransform
PropertyName,Offsets
PropertyPath,LayoutData.Offsets
Text_1,
Text_2,69D619EC4AAB406A2A673B8F06CACABF
Text_3,清掃作業へ
TypefaceFontName,Default
Text_1,
Text_2,3C59D7064E8F41C95A9AF6905EB90F79
Text_3,TOUCH
TypefaceFontName,Default
Row Name,B
WidgetName,boya
SlotWidgetName,None
WidgetName,boya
SlotWidgetName,CanvasPanelSlot
DisplayLabel,Anm_Btn_L_Light
