Key,Value
ObjectName,TextBlock_0
PropertyName,Text
FunctionName,None
Name,ButtonText
ButtonText,Text
ResourceName,0
ResourceName,../../../Engine/Content/Slate/Common/Button_Hovered.png
ResourceName,../../../Engine/Content/Slate/Common/Button_Pressed.png
ResourceName,None
TypefaceFontName,Regular
ComponentPropertyName,Button
DelegatePropertyName,OnUnhovered
FunctionNameToBind,BndEvt__WBP_Button_Button_0_K2Node_ComponentBoundEvent_1_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnHovered
FunctionNameToBind,BndEvt__WBP_Button_Button_0_K2Node_ComponentBoundEvent_0_OnButtonHoverEvent__DelegateSignature
ComponentPropertyName,Button
DelegatePropertyName,OnClicked
FunctionNameToBind,BndEvt__WBP_Button_Button_0_K2Node_ComponentBoundEvent_2_OnButtonClickedEvent__DelegateSignature
Text_1,
Text_2,DAD1FDFC4059CC931F77D9B3906F949C
Text_3,Text
